State,Number of CoCs,TotalHomeless2009,"Sheltered Homeless, 2009","Unsheltered Homeless, 2009","Homeless Individuals, 2009","Sheltered Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Homeless People in Families, 2009","Sheltered Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Chronically Homeless Individuals, 2009","Sheltered Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009","Homeless Veterans, 2009","Sheltered Homeless Veterans, 2009","Unsheltered Homeless Veterans, 2009"
AK,2,1992,1665,327,1239,989,250,753,676,77,323,245,78,259,222,37
AL,8,6080,3913,2167,4686,3031,1655,1394,882,512,1189,652,537,1063,858,205
AR,6,2852,1730,1122,2181,1297,884,671,433,238,406,146,260,249,168,82
AZ,3,14721,8366,6355,9959,4291,5668,4762,4075,687,2229,538,1691,2343,1216,1127
CA,43,123678,50777,72901,97534,32417,65117,26144,18360,7784,31412,7001,24411,17973,6799,11174
CO,3,15268,9031,6237,7401,4576,2825,7867,4455,3412,1286,510,776,1471,964,507
CT,12,4605,4103,502,2773,2288,485,1832,1815,17,824,640,184,462,401,61
DC,1,6228,5907,321,3934,3613,321,2294,2294,0,1923,1632,291,642,613,29
DE,1,1130,1083,47,776,729,47,354,354,0,167,150,17,100,91,9
FL,28,55599,21867,33732,34432,13827,20605,21167,8040,13127,9062,3493,5569,7135,2907,4228
GA,7,20360,9419,10941,14365,5765,8600,5995,3654,2341,3771,1620,2151,2760,1373,1387
GU,1,1088,182,906,391,52,339,697,130,567,87,19,68,22,3,19
HI,2,5782,3268,2514,2941,1009,1932,2841,2259,582,772,124,648,499,234,265
IA,3,3380,3221,159,1655,1524,131,1725,1697,28,306,238,68,270,247,23
ID,2,1939,1477,462,1117,821,296,822,656,166,210,157,53,270,194,76
IL,21,14055,11851,2204,7475,5642,1833,6580,6209,371,2212,1564,648,1028,801,227
IN,3,6984,5206,1778,4151,2687,1464,2833,2519,314,765,505,260,740,586,154
KS,5,1892,1696,196,1238,1086,152,654,610,44,238,196,42,638,578,60
KY,3,5999,5299,700,3302,2765,537,2697,2534,163,671,491,180,675,597,78
LA,9,12504,4118,8386,10098,2387,7711,2406,1731,675,4815,226,4589,1985,441,1544
MA,20,15482,14476,1006,7057,6174,883,8425,8302,123,1937,1490,447,1890,1709,181
MD,16,11698,7446,4252,6641,4623,2018,5057,2823,2234,2062,1243,819,932,698,234
ME,3,2444,2406,38,1124,1092,32,1320,1314,6,186,178,8,123,119,4
MI,22,14005,11298,2707,7857,6019,1838,6148,5279,869,1649,1171,478,1054,877,177
MN,11,7718,6772,946,3393,2668,725,4325,4104,221,1449,1129,320,525,441,84
MO,8,6959,5469,1490,3823,2933,890,3136,2536,600,892,691,201,699,569,130
MS,3,2797,1221,1576,1843,655,1188,954,566,388,522,152,370,358,197,161
MT,1,1196,833,363,752,481,271,444,352,92,160,107,53,206,128,78
NC,12,12918,8473,4445,9159,5576,3583,3759,2897,862,1490,1107,383,1118,854,264
ND,1,773,765,8,548,540,8,225,225,0,70,66,4,168,166,2
NE,7,3718,3079,639,2072,1747,325,1646,1332,314,495,413,82,298,263,35
NH,3,1645,1406,239,891,670,221,754,736,18,330,285,45,167,150,17
NJ,20,13169,11871,1298,5962,5005,957,7207,6866,341,934,704,230,618,542,76
NM,2,3475,2108,1367,2343,1102,1241,1132,1006,126,779,341,438,408,226,182
NV,3,11089,7792,3297,9394,6143,3251,1695,1649,46,1297,196,1101,1936,1329,607
NY,32,61067,57454,3613,24557,21005,3552,36510,36449,61,4280,2272,2008,5879,5047,832
OH,9,12700,10929,1771,7774,6430,1344,4926,4499,427,2303,1838,465,1390,1185,205
OK,8,4838,3307,1531,3227,2185,1042,1611,1122,489,654,538,116,475,416,59
OR,8,17309,7442,9867,10443,3992,6451,6866,3450,3416,2842,919,1923,1277,672,605
PA,17,15096,13819,1277,7384,6191,1193,7712,7628,84,1798,1027,771,1440,1282,158
PR,2,4070,1325,2745,3730,1133,2597,340,192,148,2195,661,1534,97,24,73
RI,1,1607,1556,51,1139,1088,51,468,468,0,220,190,30,120,113,7
SC,5,4473,3036,1437,3194,1945,1249,1279,1091,188,674,392,282,629,439,190
SD,1,731,667,64,445,381,64,286,286,0,109,45,64,160,138,22
TN,10,10532,7133,3399,8048,5520,2528,2484,1613,871,2632,1498,1134,1142,839,303
TX,18,36761,21658,15103,22564,12943,9621,14197,8715,5482,6020,2741,3279,5491,2735,2756
UT,3,3795,3540,255,2242,1987,255,1553,1553,0,700,445,255,166,110,56
VA,22,8852,7284,1568,5066,3863,1203,3786,3421,365,1621,1034,587,960,782,178
VI,1,471,76,395,430,35,395,41,41,0,369,4,365,32,0,32
VT,2,1214,1057,157,693,571,122,521,486,35,134,79,55,61,52,9
WA,7,22782,16237,6545,12086,6639,5447,10696,9598,1098,2609,1608,1001,1963,1168,795
WI,4,6525,5465,1060,3161,2733,428,3364,2732,632,716,612,104,608,575,33
WV,4,1667,1278,389,1101,848,253,566,430,136,337,239,98,271,177,94
WY,1,515,451,64,340,282,58,175,169,6,79,30,49,117,95,22
